accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
73.7,0,37.508818,126.647989,0.0,4789730301202890752,START,AUTOMOBILE,649,N,KECABDAC
20.8,0,37.509915,126.648787,16.21,4789730301243850752,NORMAL,AUTOMOBILE,649,N,KECABDAA
23.2,0,37.510939,126.648843,15.54,4789730301268426752,NORMAL,AUTOMOBILE,649,N,KECABDAA
9.6,0,37.511362,126.64889,14.08,4789730301284810752,NORMAL,AUTOMOBILE,649,N,KECABDAA
8.2,0,37.512169,126.648943,8.86,4789730301317578752,NORMAL,AUTOMOBILE,649,N,KECABDAB
47.5,0,37.514689,126.648922,0.0,4789730301481418752,STOP,AUTOMOBILE,649,N,KECABDAA
7.7,0,37.515761,126.649129,12.9,4789730301522378752,NORMAL,AUTOMOBILE,649,N,KECABDAB
7.6,0,37.515875,126.649141,12.74,4789730301526474752,NORMAL,AUTOMOBILE,649,N,KECABBCD
8.2,0,37.516771,126.649165,14.2,4789730301555146752,NORMAL,AUTOMOBILE,649,N,KECABBCD
8.2,0,37.517177,126.6492,15.3,4789730301567434752,NORMAL,AUTOMOBILE,649,N,KECABBCD
12.7,0,37.518142,126.649223,12.23,4789730301600202752,NORMAL,AUTOMOBILE,649,N,KECABBCD
20.8,0,37.518216,126.649226,7.01,4789730301608394752,NORMAL,AUTOMOBILE,649,N,KECABBCD
31.0,0,37.517513,126.649616,0.0,4789730302898634752,STOP,AUTOMOBILE,649,N,KECABBCD
31.0,0,37.517513,126.649616,0.0,4789730303691086385,END,,0,N,KECABBCD
